Date,AAPL,AMD,BAC,BBY,CVX,GE,HD,JNJ,JPM,KO,LLY,MRK,MSFT,PEP,PFE,PG,RRC,UNH,WMT,XOM
2000-01-20,0.861,19.5,12.879,15.183,18.496,160.188,37.632,25.199,24.774,17.273,33.817,29.394,32.994,20.253,15.34,30.125,1.933,6.198,41.616,20.113
2000-01-21,0.845,18.938,12.499,14.954,18.72,158.198,37.129,24.634,24.398,17.535,32.789,29.192,32.294,20.253,14.78,27.482,1.817,5.932,41.0,20.428
2000-01-24,0.806,17.25,12.191,14.283,18.773,151.612,35.891,22.938,24.419,17.011,31.459,28.311,31.516,19.797,14.49,27.599,1.739,5.608,38.989,20.248
2000-01-25,0.852,20.0,12.345,14.802,18.72,152.024,34.731,23.366,24.962,17.273,31.554,28.563,32.002,19.236,14.701,26.094,1.817,5.608,40.138,20.203
2000-01-26,0.836,18.5,12.892,14.335,18.549,155.248,35.505,22.886,26.238,16.535,31.776,29.344,30.932,19.026,14.701,26.93,1.778,5.595,40.672,20.068
2000-01-27,0.835,18.469,13.166,14.145,17.822,155.591,36.046,22.064,26.99,15.601,32.535,29.873,30.738,18.956,14.543,27.85,1.701,5.506,38.825,19.467
2000-01-28,0.771,17.625,12.516,13.834,17.452,147.085,34.422,23.161,25.652,14.929,33.074,30.779,30.582,18.641,14.833,26.847,1.662,5.347,36.198,18.956
2000-01-31,0.787,18.0,13.251,13.211,17.677,147.085,35.041,23.589,26.99,15.06,33.865,31.686,30.465,19.131,15.254,27.047,1.662,5.385,35.952,19.918
2000-02-01,0.761,18.281,13.405,13.747,17.584,149.28,38.367,23.246,28.015,15.241,33.2,30.956,32.041,19.061,15.597,26.629,1.739,5.531,38.538,19.993
2000-02-02,0.75,18.031,13.063,13.765,17.465,147.153,37.593,23.4,27.555,14.782,32.947,30.981,31.38,18.501,15.175,26.395,1.701,5.677,38.333,20.143
2000-02-03,0.784,19.5,12.704,14.405,17.214,152.847,37.439,22.835,27.826,14.487,33.042,30.729,32.255,18.536,15.017,26.178,1.701,5.627,38.333,19.798
2000-02-04,0.82,19.281,12.55,15.736,16.607,155.386,37.825,22.51,27.346,14.749,32.852,30.25,33.17,18.36,15.07,25.358,1.701,5.766,36.978,19.437
2000-02-07,0.866,20.656,12.396,15.217,16.712,149.829,36.51,22.321,27.492,14.913,32.061,30.326,33.189,18.15,15.597,24.957,1.701,5.912,36.609,19.407
2000-02-08,0.872,20.688,12.892,15.84,16.554,150.446,37.748,22.492,28.454,14.995,32.061,30.401,34.22,18.676,15.939,25.626,1.662,5.69,39.071,18.971
2000-02-09,0.855,21.031,12.601,15.165,15.854,147.153,36.356,21.927,27.722,14.946,31.269,28.764,32.372,19.061,15.228,25.157,1.623,5.481,37.963,18.428
2000-02-10,0.861,21.25,12.277,15.062,16.237,148.662,36.858,21.379,27.806,14.864,31.554,27.807,32.994,19.412,14.754,24.471,1.585,5.881,37.43,18.338
2000-02-11,0.825,22.75,12.362,14.854,15.642,146.81,37.168,21.301,27.638,14.569,31.337,26.296,31.107,19.271,14.754,25.09,1.585,5.69,36.814,17.854
2000-02-14,0.879,21.625,12.106,14.664,15.603,147.496,37.322,21.353,26.447,14.192,30.892,26.623,31.01,19.096,14.754,24.589,1.43,5.779,38.661,18.474
2000-02-15,0.903,21.75,12.482,14.681,16.382,150.926,36.974,21.92,27.116,14.602,31.114,26.447,30.679,19.166,14.991,25.626,1.43,6.033,38.086,19.168
2000-02-16,0.866,21.875,12.362,15.217,16.587,148.902,35.427,21.955,26.593,14.044,31.146,26.397,30.388,19.061,14.263,25.17,1.507,6.23,34.639,19.335
2000-02-17,0.872,21.5,12.208,15.062,16.574,143.792,33.726,21.783,26.217,13.717,30.606,25.49,31.01,19.236,14.368,25.207,1.43,6.389,31.766,18.821
2000-02-18,0.844,21.5,11.969,15.529,16.241,137.343,33.262,21.301,25.004,13.471,29.748,24.986,29.59,19.201,14.368,25.061,1.276,5.881,31.356,18.126
2000-02-22,0.864,20.906,12.242,14.871,16.134,142.282,33.184,21.628,25.84,13.569,30.256,26.397,29.201,19.447,14.157,24.856,1.314,5.976,31.602,18.232
2000-02-23,0.882,20.531,12.516,14.871,15.615,143.243,33.919,20.94,25.882,13.438,30.67,25.44,29.337,19.166,14.368,24.254,1.237,5.817,30.863,18.036
2000-02-24,0.874,21.281,12.259,14.318,15.228,143.792,32.836,20.287,25.422,13.061,29.78,24.986,29.493,19.061,13.972,23.685,1.237,5.347,31.438,17.597
2000-02-25,0.838,20.25,12.071,13.281,15.148,138.441,32.797,19.806,25.38,12.766,28.826,24.256,28.423,18.36,13.682,22.782,1.198,5.208,29.221,17.175
2000-02-28,0.859,18.875,12.567,14.301,15.894,142.077,35.157,20.012,26.07,12.93,29.239,24.81,28.501,18.641,13.603,23.652,1.198,5.227,30.33,17.764
2000-02-29,0.87,19.75,12.584,15.114,15.921,145.301,35.582,19.806,26.635,12.75,30.225,24.81,27.82,18.01,13.576,23.518,1.237,5.195,32.012,18.202
2000-03-01,0.989,20.25,12.602,15.217,16.041,144.203,34.422,20.184,27.429,13.372,29.939,24.295,28.267,18.255,13.47,23.618,1.353,5.55,32.176,18.383
2000-03-02,0.926,19.625,12.463,15.788,16.134,148.457,34.112,20.27,26.948,13.012,29.335,23.991,29.065,17.695,13.523,23.368,1.546,5.335,33.202,18.61
2000-03-03,0.971,20.75,12.446,16.739,15.894,152.984,33.726,20.218,27.137,13.143,29.494,23.282,29.921,17.73,13.787,23.669,1.469,5.531,34.557,18.292
2000-03-06,0.954,23.75,12.308,17.569,15.774,151.303,33.339,19.393,27.91,12.848,29.303,22.877,28.209,17.379,13.391,23.401,1.546,5.335,33.161,17.628
2000-03-07,0.932,27.5,12.169,16.238,17.267,143.046,32.435,18.843,27.367,12.356,27.714,21.84,28.909,17.169,12.678,16.325,1.701,4.979,31.232,19.335
2000-03-08,0.926,26.75,12.066,16.86,17.28,143.459,32.512,19.53,26.426,12.455,28.222,23.004,29.746,17.175,13.708,15.523,1.662,4.839,31.725,19.244
2000-03-09,0.928,29.062,11.91,17.707,17.746,142.014,34.254,19.995,27.137,12.258,30.542,24.75,31.127,17.667,14.527,15.456,1.392,4.985,32.135,19.44
2000-03-10,0.954,26.0,11.858,17.258,17.133,144.973,33.131,19.496,26.321,11.93,31.114,24.117,31.438,17.315,14.791,14.385,1.314,5.169,31.479,18.617
2000-03-13,0.921,25.75,11.945,16.998,17.014,142.496,32.822,19.255,26.781,11.514,30.129,23.08,30.504,17.527,14.501,15.322,1.237,5.087,31.314,18.338
2000-03-14,0.867,24.0,11.789,17.344,17.666,139.812,32.396,20.012,26.426,11.399,29.208,22.877,29.609,17.28,14.052,14.92,1.237,5.087,31.356,18.67
2000-03-15,0.882,24.625,12.688,18.295,17.893,147.037,35.299,21.164,27.806,12.518,31.909,24.219,29.687,18.688,14.897,15.656,1.198,5.227,33.861,18.791
2000-03-16,0.923,24.594,13.621,20.612,17.933,153.023,38.086,21.955,30.147,13.094,32.926,26.319,29.687,19.181,15.425,16.024,1.198,5.296,35.915,19.274
2000-03-17,0.949,25.0,13.829,20.612,17.76,153.986,39.131,21.886,30.44,12.929,31.21,25.408,30.932,18.582,15.134,15.422,1.198,5.246,36.655,18.64
2000-03-20,0.933,26.875,13.725,19.61,17.68,155.156,39.402,21.817,28.955,12.781,30.892,24.953,30.31,18.723,14.791,15.556,1.198,5.385,36.244,18.096
2000-03-21,1.024,27.406,14.105,20.336,18.333,165.683,39.324,22.075,30.774,13.011,31.369,25.889,31.983,19.322,15.504,15.255,1.237,5.487,37.23,18.61
2000-03-22,1.094,28.75,14.226,21.166,17.906,166.096,39.053,22.625,30.628,12.386,32.322,26.091,32.138,18.864,15.055,15.255,1.237,5.379,36.408,18.111
2000-03-23,1.072,27.688,14.987,22.342,18.039,176.142,39.711,22.006,32.949,12.37,32.735,25.459,34.823,18.864,14.897,15.038,1.237,5.55,35.504,18.247
2000-03-24,1.052,27.0,15.108,21.564,18.253,175.109,39.866,19.874,32.175,12.37,31.591,25.003,34.765,18.547,14.738,15.104,1.237,5.836,36.49,18.67
2000-03-27,1.059,27.094,14.97,20.924,18.026,173.871,39.866,19.187,31.673,11.909,30.765,24.75,32.391,18.222,14.685,14.787,1.276,5.665,36.449,18.492
2000-03-28,1.056,27.562,14.814,22.688,18.093,171.738,39.634,19.806,31.527,11.811,30.638,24.927,32.469,18.301,14.817,15.255,1.469,5.627,35.833,19.093
2000-03-29,1.032,27.375,14.382,22.964,18.865,179.444,42.421,19.548,30.231,12.337,31.019,25.914,33.364,18.723,15.372,15.707,1.43,5.658,38.627,19.455
2000-03-30,0.954,30.0,14.054,23.224,19.651,174.765,41.492,19.462,29.102,12.781,30.892,25.94,32.177,20.237,15.425,15.523,1.392,5.82,38.792,19.002
2000-03-31,1.031,29.5,14.503,23.794,19.705,171.325,39.943,19.324,29.164,12.353,31.845,25.155,33.072,19.638,15.451,15.188,1.314,6.062,37.148,18.851
2000-04-03,1.012,30.438,15.35,22.947,19.678,177.242,42.111,19.874,30.942,12.978,33.244,27.028,28.287,20.342,16.059,15.924,1.276,6.31,40.23,19.455
2000-04-04,0.966,30.562,14.987,21.443,19.145,169.536,40.021,21.112,29.169,13.784,35.087,27.407,27.567,20.518,16.798,16.995,1.198,6.176,39.449,19.939
2000-04-05,0.989,34.188,14.935,21.494,18.652,168.779,39.634,21.318,29.043,12.534,34.309,27.635,26.886,20.694,16.323,16.476,1.237,6.1,38.299,19.274
2000-04-06,0.95,35.5,14.78,22.152,18.959,172.701,40.834,20.596,29.401,12.041,33.498,26.547,26.769,20.729,16.217,16.794,1.198,6.271,40.189,19.758
2000-04-07,1.0,37.75,14.468,22.618,18.426,174.834,39.711,20.373,29.043,12.156,32.704,26.522,27.722,20.272,16.402,16.978,1.198,6.278,40.435,19.229
2000-04-10,0.949,37.75,14.607,22.324,18.346,175.522,41.298,20.906,29.632,11.843,32.99,26.876,26.789,20.413,16.825,17.664,1.198,6.494,41.791,18.912
2000-04-11,0.906,35.312,14.477,22.013,18.905,177.93,41.724,21.525,28.917,12.419,34.007,27.255,26.108,20.87,16.825,17.781,1.198,6.653,41.668,19.184
2000-04-12,0.829,38.0,15.091,22.895,18.972,172.564,40.872,21.181,29.191,12.765,33.117,26.269,24.707,20.976,17.063,18.55,1.16,6.901,41.052,19.319
2000-04-13,0.864,35.5,14.607,23.431,18.532,165.683,38.705,20.975,28.413,12.436,35.596,26.648,24.668,20.518,16.746,18.6,1.237,6.748,39.49,19.335
2000-04-14,0.849,33.0,13.812,19.402,18.266,160.454,37.312,20.167,26.522,12.37,34.293,25.737,23.073,20.518,16.032,16.861,1.121,6.5,36.162,19.032
2000-04-17,0.94,36.312,13.915,20.163,17.68,167.334,35.454,21.318,26.438,12.765,35.596,26.091,23.618,20.624,16.059,18.467,1.082,6.481,35.504,18.247
2000-04-18,0.963,39.5,14.105,22.065,18.026,172.289,36.383,22.419,27.068,12.798,37.248,26.825,25.077,20.237,16.719,17.763,1.121,6.596,35.422,18.413
2000-04-19,0.919,37.625,13.673,21.512,18.066,171.188,36.383,22.625,26.227,12.946,38.456,27.939,24.493,19.885,17.459,17.763,1.082,6.576,36.121,18.715
2000-04-20,0.902,39.125,13.708,22.048,18.399,174.49,36.305,22.453,25.996,13.011,38.52,28.242,24.571,20.94,17.538,18.536,1.121,6.824,37.929,19.093
2000-04-24,0.914,40.5,14.244,21.754,18.173,178.412,36.886,23.072,25.135,13.061,39.41,29.128,20.738,21.328,18.383,18.956,1.121,7.059,38.71,19.304
2000-04-25,0.974,43.75,14.78,21.927,18.079,182.747,36.537,23.192,26.248,13.291,39.155,29.356,21.594,21.081,18.357,17.275,1.082,6.939,39.244,19.576
2000-04-26,0.921,41.125,14.313,23.068,18.399,179.719,37.466,22.763,25.702,13.011,39.568,29.128,21.166,21.257,18.383,16.334,0.928,6.843,38.627,19.365
2000-04-27,0.962,42.625,14.175,23.12,18.852,177.793,36.421,22.831,24.84,12.699,39.632,28.951,21.73,21.081,18.066,16.368,0.928,6.818,37.929,19.501
2000-04-28,0.941,43.75,13.552,22.342,18.146,173.114,34.989,22.694,24.252,12.436,39.219,28.141,21.711,20.659,17.802,16.065,0.889,6.78,36.408,18.776
2000-05-01,0.943,44.188,13.829,23.5,18.399,175.453,34.757,22.745,24.798,12.172,39.346,27.357,22.859,20.835,17.67,16.053,0.928,6.564,38.093,18.851
2000-05-02,0.895,44.75,13.725,22.912,19.039,177.311,35.183,23.158,25.597,12.172,39.664,28.04,21.75,21.116,18.145,16.082,0.928,6.405,37.888,18.912
2000-05-03,0.873,43.875,13.552,22.273,18.612,171.807,33.441,22.9,24.966,12.765,40.172,27.66,21.964,21.152,18.04,16.301,1.005,6.227,35.134,18.73
2000-05-04,0.84,45.0,13.276,21.028,18.839,169.536,32.512,22.849,24.63,12.765,40.299,27.205,21.925,20.659,18.172,16.25,1.082,6.348,33.532,19.214
2000-05-05,0.858,46.0,13.155,20.388,19.345,173.94,33.015,23.106,24.273,12.386,40.554,28.04,22.139,21.116,18.859,16.368,1.082,6.411,33.737,19.335
2000-05-08,0.836,44.375,13.328,19.454,19.572,173.183,33.17,24.138,24.21,12.765,40.935,28.293,21.73,21.363,19.493,16.452,1.082,6.71,34.436,19.44
2000-05-09,0.8,41.75,13.328,18.658,19.212,172.151,32.512,23.932,23.832,13.291,40.49,27.913,21.108,21.222,18.895,16.872,1.044,6.901,34.847,19.199
2000-05-10,0.754,39.969,12.861,19.195,19.372,167.197,33.441,23.519,23.117,13.9,39.282,27.534,20.602,22.067,18.373,17.259,1.044,6.951,37.271,19.697
2000-05-11,0.78,43.875,13.103,20.336,19.905,168.229,33.364,23.674,23.537,14.097,38.203,27.635,21.127,22.524,18.082,17.477,1.121,7.034,36.819,20.153
2000-05-12,0.817,42.844,13.44,19.765,20.098,172.564,33.441,23.519,24.084,13.752,38.49,27.584,21.419,22.243,18.247,17.242,1.237,7.256,37.353,19.933
2000-05-15,0.766,42.75,14.002,20.63,20.038,178.343,34.989,23.725,25.092,13.62,39.001,28.192,21.594,22.172,18.631,17.443,1.353,7.587,37.477,20.32
2000-05-16,0.802,44.25,13.742,21.598,19.811,179.169,33.093,24.018,24.966,12.88,38.235,28.749,21.633,22.032,18.843,17.343,1.353,7.688,38.134,20.229
2000-05-17,0.769,42.5,13.639,20.768,19.602,177.105,32.357,23.949,24.882,12.699,37.693,28.268,21.069,21.961,19.054,17.477,1.469,7.587,37.066,19.774
2000-05-18,0.765,43.25,13.915,21.304,19.508,175.453,31.893,24.344,25.261,13.011,37.629,28.318,20.602,22.251,19.134,17.41,1.701,7.879,38.093,19.793
2000-05-19,0.713,41.906,13.76,20.491,20.031,171.325,31.932,24.502,24.378,13.176,38.745,29.331,20.252,22.102,18.71,17.494,1.701,7.765,37.518,19.865
2000-05-22,0.683,40.25,13.898,19.955,20.192,165.133,31.196,23.984,24.273,13.34,38.363,29.28,19.98,22.383,18.604,17.443,1.778,7.758,37.723,20.244
2000-05-23,0.651,37.75,14.538,20.197,20.018,165.133,30.809,24.018,24.588,13.159,38.554,29.887,19.668,22.207,18.71,17.309,1.662,7.669,37.6,20.169
2000-05-24,0.665,36.344,15.471,18.537,20.233,167.61,28.951,24.829,24.084,13.867,39.351,30.216,20.408,22.947,18.737,17.712,1.623,7.917,37.395,20.153
2000-05-25,0.662,35.312,15.298,19.35,20.005,167.61,28.796,24.657,23.621,13.867,40.117,30.242,19.143,22.489,19.332,17.729,1.585,7.784,36.162,19.789
2000-05-26,0.655,37.0,15.108,17.258,19.615,163.688,29.029,24.329,23.705,14.36,40.212,30.191,19.124,23.087,19.107,17.813,1.623,7.714,35.504,20.017
2000-05-30,0.664,43.0,15.195,18.174,19.602,169.261,29.261,24.553,24.714,14.179,39.032,30.368,19.727,23.087,18.71,17.78,1.623,7.72,35.093,20.29
2000-05-31,0.637,40.875,15.474,17.707,19.844,173.802,30.345,24.709,25.114,14.048,38.841,30.334,19.474,22.911,18.843,17.88,1.739,7.58,37.888,20.244
2000-06-01,0.676,42.0,15.857,19.558,19.535,172.977,30.886,24.208,25.933,14.015,39.319,29.444,20.096,22.559,19.054,17.645,1.894,7.727,37.477,20.153
2000-06-02,0.702,45.062,17.026,20.785,19.441,174.215,33.209,23.19,27.131,13.834,37.31,28.022,20.641,22.7,18.446,17.208,1.817,7.612,38.833,19.242
2000-06-05,0.693,45.562,16.538,19.921,19.414,170.293,32.435,23.19,26.69,13.686,36.96,28.123,20.816,22.243,18.102,17.023,1.778,7.619,38.997,19.272
2000-06-06,0.705,45.125,15.84,18.468,19.938,169.055,31.196,23.225,25.891,13.636,37.821,28.289,21.672,23.087,18.393,17.007,1.817,7.46,38.299,20.001
2000-06-07,0.733,43.5,16.137,17.258,19.83,169.674,31.312,23.104,25.849,13.949,38.203,28.657,21.944,23.343,18.419,16.637,1.817,7.485,38.052,19.713
2000-06-08,0.72,43.562,15.84,17.621,19.87,168.023,30.886,23.432,25.723,13.9,38.235,28.174,21.419,23.979,18.737,15.46,1.817,7.523,37.395,19.455
2000-06-09,0.727,44.375,15.631,17.275,19.75,164.72,29.841,23.777,24.651,13.768,38.873,28.403,21.419,23.308,19.478,15.326,1.739,7.822,35.504,19.242
2000-06-12,0.692,42.75,15.761,16.324,19.938,164.72,28.487,23.406,24.509,13.85,39.925,28.428,20.816,23.714,18.79,15.158,1.778,8.124,34.682,19.622
2000-06-13,0.717,44.0,15.543,17.569,19.696,169.055,30.603,24.295,24.304,14.093,41.201,29.851,21.127,24.191,19.412,15.326,1.778,8.209,36.162,19.728
2000-06-14,0.686,41.875,15.439,18.641,20.018,168.435,31.611,24.778,25.25,13.994,42.253,29.648,21.944,24.579,19.729,15.326,1.778,8.337,36.284,20.077
2000-06-15,0.701,41.438,14.497,19.004,19.991,171.325,31.533,25.019,24.62,14.753,42.349,29.597,22.528,24.508,19.901,15.259,1.585,8.337,36.53,20.032
2000-06-16,0.692,41.25,13.398,19.212,19.911,168.848,30.875,24.726,22.917,14.654,43.337,28.86,22.586,24.72,20.298,14.923,1.623,8.209,35.461,20.503
2000-06-19,0.733,45.906,13.502,17.586,19.615,165.958,30.991,24.898,23.642,14.374,44.071,29.292,22.937,24.685,19.795,15.082,1.778,8.133,35.79,20.427
2000-06-20,0.768,45.625,13.537,17.69,19.374,168.435,30.294,24.45,24.178,13.978,44.175,28.809,23.326,23.237,19.584,14.855,1.855,8.152,35.872,20.229
2000-06-21,0.844,47.5,13.293,17.88,19.592,163.275,30.1,24.812,23.705,14.126,44.262,29.444,25.115,23.873,19.848,14.671,1.971,8.241,35.502,20.4
2000-06-22,0.816,45.625,13.119,17.949,19.226,161.004,29.674,24.45,23.39,14.819,43.114,28.962,24.863,23.696,19.372,14.553,1.894,8.171,34.556,20.093
2000-06-23,0.784,43.875,13.223,17.586,19.267,164.72,29.751,24.778,23.642,15.281,43.529,29.521,24.182,23.767,19.425,14.771,1.933,8.121,35.379,20.199
2000-06-26,0.821,43.625,13.38,16.601,19.049,164.926,29.209,26.365,23.989,15.578,44.167,30.181,24.746,24.614,19.584,14.956,1.933,8.108,35.379,20.256
2000-06-27,0.785,42.125,13.119,16.895,18.985,162.656,30.72,27.038,24.178,15.281,43.242,30.181,24.532,24.544,19.901,14.956,1.894,8.152,37.394,19.941
2000-06-28,0.826,40.344,12.678,17.673,18.8,166.939,29.829,27.077,23.729,15.855,44.493,30.08,24.571,24.526,19.683,14.935,1.933,8.389,36.849,19.956
2000-06-29,0.778,38.125,12.682,17.119,18.599,164.307,29.674,27.211,24.021,15.595,51.852,30.124,24.026,24.155,19.577,14.419,1.855,8.743,35.625,19.732
2000-06-30,0.795,38.625,12.002,17.5,18.207,175.041,30.952,28.125,23.233,15.166,50.959,31.147,24.902,25.109,20.325,15.259,1.933,8.718,37.929,19.075
2000-07-03,0.809,42.125,12.56,17.759,18.445,171.738,30.797,27.901,24.157,15.364,50.385,31.083,24.902,24.297,20.192,15.024,1.933,8.953,37.435,19.329
2000-07-05,0.784,37.625,12.648,16.947,17.71,165.362,31.146,27.884,24.252,15.512,53.319,31.375,24.435,24.508,20.086,14.956,1.817,9.048,37.518,18.695
2000-07-06,0.786,38.75,12.787,17.725,17.938,166.19,31.766,27.521,24.379,15.562,51.852,30.639,25.193,24.791,19.716,14.855,1.855,9.328,37.847,18.999
2000-07-07,0.826,41.0,13.241,19.575,18.022,169.915,34.4,27.538,25.427,15.512,51.533,30.232,25.524,23.979,19.398,14.755,1.855,9.124,40.521,19.079
2000-07-10,0.867,42.5,13.241,20.509,18.032,173.64,35.639,27.659,25.268,15.199,53.064,30.435,24.726,23.131,20.245,14.906,1.855,8.883,40.315,18.984
2000-07-11,0.864,41.75,13.101,20.958,18.676,173.019,35.717,27.659,25.744,14.836,52.553,30.359,24.629,22.955,20.748,14.822,1.855,8.915,40.809,19.576
2000-07-12,0.894,42.156,13.119,21.166,18.391,177.987,35.562,27.073,25.681,14.819,50.895,29.832,24.999,22.46,20.311,14.822,1.933,9.074,40.15,19.102
2000-07-13,0.858,42.75,12.892,20.993,18.022,173.847,34.826,26.296,25.776,15.298,48.854,28.098,24.882,22.813,19.531,14.671,2.01,8.718,38.916,18.954
2000-07-14,0.876,45.0,13.258,21.529,17.979,170.536,34.981,25.347,26.665,15.215,48.217,27.336,24.571,23.555,19.081,15.057,2.203,8.591,39.163,18.847
2000-07-17,0.885,45.625,13.084,21.953,17.747,177.78,35.252,26.046,26.427,15.141,50.241,27.387,24.337,24.226,19.524,15.091,2.126,8.839,39.965,19.136
2000-07-18,0.869,45.5,12.909,22.013,17.482,173.019,35.562,26.227,25.871,15.364,51.278,26.98,24.435,24.297,19.001,15.662,2.281,8.464,39.533,18.999
2000-07-19,0.8,45.125,12.892,20.872,17.59,174.675,35.407,25.727,25.744,15.974,50.385,26.523,22.762,24.508,19.663,15.994,2.203,8.534,39.492,19.121
2000-07-20,0.837,43.062,13.502,20.751,17.174,179.849,35.988,25.364,26.062,15.974,49.237,26.04,23.287,24.72,19.054,15.96,2.165,8.629,39.492,18.984
2000-07-21,0.813,40.062,13.607,20.734,16.852,179.228,35.407,25.468,26.784,16.069,49.939,25.913,22.509,25.003,19.425,15.994,2.126,8.642,39.287,18.741
2000-07-24,0.739,39.0,13.241,20.526,16.61,178.814,34.71,26.076,26.189,15.644,51.605,28.276,21.964,24.65,20.139,15.96,1.971,8.368,37.806,18.771
2000-07-25,0.76,39.375,13.467,20.336,16.597,177.366,34.09,25.813,26.03,15.644,51.533,28.822,21.478,24.932,18.631,16.399,1.933,8.006,38.957,18.316
2000-07-26,0.76,38.094,13.136,20.924,16.597,172.606,33.199,24.916,25.078,15.529,50.465,28.454,21.108,24.756,18.419,16.137,1.817,7.949,38.67,18.513
2000-07-27,0.789,35.0,13.049,20.889,17.375,173.847,33.935,25.36,25.332,15.958,50.728,29.406,21.594,25.038,18.889,16.112,1.855,8.324,39.533,19.561
2000-07-28,0.733,35.5,12.979,19.921,17.298,168.673,32.657,25.856,24.57,16.552,52.171,29.584,21.692,25.285,18.578,16.01,1.855,8.254,38.628,19.44
2000-07-31,0.771,36.0,13.223,20.128,16.956,171.157,32.076,25.692,25.3,16.189,53.0,29.127,21.73,25.886,18.366,15.419,1.855,8.317,36.366,19.485
2000-08-01,0.748,33.875,13.31,20.578,16.932,174.675,32.23,26.175,26.22,16.635,54.531,30.118,21.38,25.921,19.372,15.892,1.855,8.483,35.872,19.44
2000-08-02,0.717,31.25,13.171,20.785,17.133,172.192,32.928,26.641,26.125,16.618,54.467,30.486,21.594,25.78,19.531,15.74,1.894,8.502,35.584,20.138
2000-08-03,0.729,32.75,13.694,19.903,17.174,175.089,32.076,26.779,25.522,16.635,55.041,30.575,21.867,25.497,18.948,15.706,1.971,8.635,35.461,19.789
2000-08-04,0.719,31.375,14.654,19.506,17.029,176.745,33.47,26.658,26.633,16.404,54.786,30.003,21.516,25.462,19.266,15.52,2.049,8.915,34.844,19.853
2000-08-07,0.728,32.5,14.619,19.661,17.325,174.261,34.09,26.74,27.204,16.206,54.363,29.686,21.789,25.215,19.021,15.452,2.049,8.94,36.284,19.656
2000-08-08,0.71,30.625,14.497,20.197,17.251,177.987,35.33,26.689,27.173,16.09,55.384,29.413,23.073,25.109,19.021,15.283,2.242,8.845,37.929,19.633
2000-08-09,0.721,30.875,14.811,19.955,17.73,185.23,35.949,26.175,26.57,15.793,39.224,28.682,23.112,24.862,18.102,15.233,2.281,8.934,35.296,19.698
2000-08-10,0.722,28.5,14.915,19.661,18.005,188.749,34.167,26.891,26.347,16.107,39.351,29.051,22.606,25.462,17.784,15.368,2.319,8.985,33.568,19.79
2000-08-11,0.724,28.875,15.09,20.076,18.032,187.3,34.671,27.012,26.411,16.437,39.42,29.432,22.548,25.886,18.154,15.757,2.319,9.379,34.309,19.882
2000-08-14,0.714,31.5,15.352,21.166,18.113,188.749,36.569,26.866,26.792,16.651,39.804,29.61,22.47,26.557,18.088,16.027,2.319,9.506,34.803,20.172
2000-08-15,0.709,32.0,15.16,20.44,17.925,189.576,33.16,26.529,26.316,16.371,39.42,29.775,22.295,25.956,17.784,16.974,2.435,9.461,33.939,19.866
2000-08-16,0.736,32.625,14.933,19.696,18.488,188.128,31.611,27.012,25.585,16.024,39.548,29.927,22.1,24.862,18.432,16.974,2.512,9.372,32.869,20.221
